Edge 	Weight
CIA - BDS 	465.154 
OSL - BDU 	1054.01 
SYY - BEB 	101.965 
IST - BEG 	790.553 
BPN - BEJ 	385.376 
FOR - BEL 	1136.19 
IST - BEN 	1268.89 
CDG - BES 	514.763 
ANC - BET 	639.467 
BQL - BEU 	165.505 
APL - BEW 	697.991 
EVN - BEY 	1057.67 
CLE - BFD 	270.369 
DEN - BFF 	241.384 
CKG - BFJ 	295.658 
LAX - BFL 	176.1 
JNB - BFN 	380.147 
AMS - BFS 	771.04 
DMK - BFV 	320.194 
MDE - BGA 	269.361 
NSI - BGF 	776.224 
ESB - BGG 	667.076 
FRA - BGI 	7336.14 
PHL - BGM 	267.121 
VNO - BGO 	1347.62 
LGA - BGR 	608.24 
ESB - BGW 	1258.04 
BUD - BGY 	755.883 
BOS - BHB 	315.235 
LBA - BHD 	286.128 
WLG - BHE 	80.803 
JED - BHH 	406.376 
AEP - BHI 	571.477 
BOM - BHJ 	572.582 
UGC - BHK 	381.278 
BWI - BHM 	1096.54 
DEL - BHO 	587.465 
ADL - BHQ 	426.031 
KTM - BHR 	91.5638 
SYD - BHS 	153.212 
BOM - BHU 	304.59 
ISB - BHV 	480.593 
FRA - BHX 	766.206 
CTU - BHY 	1137.74 
NCE - BIA 	221.376 
UPG - BIK 	1887.36 
MSP - BIL 	1199.94 
FLL - BIM 	98.0245 
MXP - BIO 	958.251 
LYS - BIQ 	580.348 
KTM - BIR 	231.98 
MSP - BIS 	619.441 
ALG - BJA 	165.347 
THR - BJB 	571.425 
HFT - BJF 	222.091 
MSP - BJI 	320.471 
DKR - BJL 	180.178 
EBB - BJM 	510.62 
ADD - BJR 	334.168 
IST - BJV 	457.203 
IAH - BJX 	1173.82 
MAD - BJZ 	329.596 
OTZ - BKC 	119.324 
MDW - BKG 	749.284 
BWN - BKI 	166.266 
TAS - BKK 	4317.96 
LWY - BKM 	100.061 
TUN - BKO 	3255.05 
LRE - BKQ 	160.759 
BTH - BKS 	588.516 
IAD - BKW 	344.705 
KND - BKY 	328.479 
MWZ - BKZ 	174.816 
PMV - BLA 	119.315 
GOT - BLE 	358.206 
SEA - BLI 	150.387 
ALG - BLJ 	296.446 
IOM - BLK 	110.041 
CPH - BLL 	220.094 
KIV - BLQ 	1391.79 
BOM - BLR 	834.163 
SFB - BLV 	1344.94 
NBO - BLZ 	1611.06 
HEL - BMA 	406.443 
PHE - BME 	465.422 
ORD - BMI 	187.147 
LOP - BMU 	266.071 
SGN - BMV 	260.448 
AZR - BMW 	727.307 
YYZ - BNA 	1031.95 
FIH - BNB 	758.548 
GOM - BNC 	251.09 
DXB - BND 	240.791 
BKK - BNE 	7260.29 
ABV - BNI 	350.804 
SYD - BNK 	611.811 
TRD - BNN 	231.215 
CCS - BNS 	416.674 
BEG - BNX 	237.668 
PPT - BOB 	259.211 
SJO - BOC 	226.576 
MXP - BOD 	744.462 
CDG - BOG 	8644.69 
PSA - BOH 	1212.18 
SEA - BOI 	641.132 
SOF - BOJ 	335.98 
IKA - BOM 	2799.31 
AMS - BON 	7792.35 
TRD - BOO 	452.668 
DUB - BOS 	4802.87 
OUA - BOY 	334.279 
URC - BPL 	425.4 
KUL - BPN 	1745.91 
SSA - BPS 	400.902 
DFW - BPT 	435.01 
LXA - BPX 	613.16 
PER - BQB 	201.435 
ATL - BQK 	383.554 
ISA - BQL 	253.695 
JFK - BQN 	2542.97 
HTA - BQS 	996.622 
SSA - BRA 	731.712 
AEP - BRC 	1335.25 
MSP - BRD 	183.033 
VIE - BRE 	775.963 
TIA - BRI 	249.238 
ORD - BRL 	299.763 
CUR - BRM 	242.576 
VIE - BRN 	693.817 
IAH - BRO 	497.465 
STN - BRQ 	1199.86 
GLA - BRR 	224.908 
FRA - BRS 	808.158 
FRA - BRU 	304.839 
FAI - BRW 	807.281 
BBO - BSA 	470.038 
FOR - BSB 	1691.7 
EOH - BSC 	199.44 
KMG - BSD 	378.795 
SSG - BSG 	239.057 
ALG - BSK 	310.41 
VIE - BSL 	676.685 
MNL - BSO 	668.587 
BEY - BSR 	1201.11 
GIU - BTC 	108.337 
PKU - BTH 	306.236 
FYU - BTI 	401.959 
PEN - BTJ 	538.181 
OVB - BTK 	1199.36 
SLC - BTM 	576.003 
ATL - BTR 	720.929 
PRG - BTS 	303.648 
FAI - BTT 	286.873 
KUL - BTU 	1256.66 
JFK - BTV 	429.176 
POM - BUA 	935.372 
DMD - BUC 	78.3176 
KRR - BUD 	1549.92 
BOS - BUF 	634.936 
POM - BUL 	255.47 
BOG - BUN 	330.141 
