Edge 	Weight
SCO - GUW 	367.12 
VIE - GVA 	816.92 
PLU - GVR 	232.236 
MCT - GWD 	448.306 
BOM - GWL 	971.336 
HAM - GWT 	178.297 
AUH - GXF 	1122.36 
LXA - GXH 	1262.99 
TDD - GYA 	446.978 
SCO - GYD 	386.943 
BOG - GYE 	993.937 
BSB - GYN 	162.634 
PEK - GYS 	1295.76 
HIR - GZO 	380.59 
ESB - GZP 	430.05 
ESB - GZT 	526.341 
TOS - HAA 	151.172 
HND - HAC 	271.016 
ARN - HAD 	444.478 
JIB - HAH 	2566.52 
VIE - HAJ 	687.407 
KWE - HAK 	823.786 
PRG - HAM 	489.781 
CTU - HAN 	1056.92 
DRV - HAQ 	176.648 
RUH - HAS 	571.03 
OSL - HAU 	338.453 
FRA - HAV 	8138.21 
MEL - HBA 	616.988 
IST - HBE 	1154.81 
BOM - HBX 	476.617 
ANI - HCR 	68.5485 
FRA - HDF 	573.353 
CTU - HDG 	1173.65 
MHD - HDM 	1013.99 
DEN - HDN 	226.936 
JNB - HDS 	343.794 
BKK - HDY 	751.329 
MHD - HEA 	325.468 
RGN - HEH 	432.545 
OHE - HEK 	454.511 
MSQ - HEL 	738.899 
ATH - HER 	309.069 
URC - HET 	2021.12 
ETH - HFA 	361.258 
CGO - HFE 	443.092 
ARN - HFS 	245.857 
TOS - HFT 	210.483 
JIB - HGA 	247.443 
URC - HGH 	3266.03 
CNX - HGN 	119.548 
IAD - HGR 	88.0902 
POM - HGU 	515.297 
DCA - HHH 	807.748 
BUD - HHN 	922.922 
XIY - HIA 	957.253 
MSP - HIB 	280.056 
CNS - HID 	794.076 
DLC - HIJ 	1131.53 
GMP - HIN 	297.616 
POM - HIR 	1407.8 
CSX - HJJ 	356.02 
VNS - HJR 	304.33 
CTS - HKD 	132.728 
ALA - HKG 	4113.18 
CHC - HKK 	152.365 
POM - HKN 	565.012 
DXB - HKT 	4927.2 
DUR - HLA 	515.485 
HTA - HLD 	556.418 
HET - HLH 	1012.27 
MSP - HLN 	1464.87 
AKL - HLZ 	106.714 
SVX - HMA 	672.562 
CAI - HMB 	421.515 
CZL - HME 	513.738 
URC - HMI 	514.409 
PHX - HMO 	491.024 
VHM - HMV 	159.004 
CTS - HNA 	375.038 
PEK - HND 	2092.2 
JNU - HNH 	56.6919 
CTS - HNL 	6027.69 
OGG - HNM 	44.7188 
JNU - HNS 	112.911 
IAH - HOB 	805.835 
JED - HOD 	869.321 
VTE - HOE 	336.949 
RUH - HOF 	282.877 
FRA - HOG 	7895.2 
PPT - HOI 	918.627 
ANC - HOM 	188.432 
PIR - HON 	163.501 
TER - HOR 	143.681 
MEM - HOT 	291.786 
STL - HOU 	1107.88 
OSL - HOV 	351.539 
BET - HPB 	245.484 
DAD - HPH 	553.293 
MVY - HPN 	261.196 
OVB - HRB 	3206.54 
ADD - HRE 	3109.58 
SSH - HRG 	106.486 
CMB - HRI 	169.361 
KBP - HRK 	387.285 
IAH - HRL 	475.239 
ALG - HRM 	418.252 
MCI - HRO 	364.332 
ICN - HSG 	593.828 
HUS - HSL 	102.295 
PVG - HSN 	144.651 
DTW - HSV 	893.293 
OVB - HTA 	2036.66 
CNS - HTI 	512.359 
URC - HTN 	997.882 
CLT - HTS 	378.894 
ESB - HTY 	507.55 
PPT - HUH 	178.588 
HAN - HUI 	571.849 
RMQ - HUN 	104.669 
FAI - HUS 	325.918 
LIM - HUU 	258.156 
IAH - HUX 	1582.77 
AMS - HUY 	370.403 
BNE - HVB 	230.862 
ULN - HVD 	1126.85 
HFT - HVG 	92.0845 
PHL - HVN 	251.969 
BIL - HVR 	317.789 
BOS - HYA 	97.7619 
BOM - HYD 	622.839 
KTN - HYG 	72.4771 
WUH - HYN 	739.902 
KWE - HZH 	235.116 
KJA - IAA 	1288.57 
JFK - IAD 	366.32 
MYR - IAG 	1048.3 
ORD - IAH 	1490.65 
HME - IAM 	525.5 
OTZ - IAN 	94.7428 
CEB - IAO 	228.297 
LED - IAR 	623.014 
OTP - IAS 	313.338 
ABV - IBA 	405.129 
BOG - IBE 	113.681 
NGO - IBR 	358.262 
CIA - IBZ 	1004.36 
SUV - ICI 	224.598 
PEK - ICN 	902.612 
ORD - ICT 	944.666 
DEN - IDA 	736.004 
DEL - IDR 	662.858 
DME - IEV 	747.441 
RKV - IFJ 	221.564 
KWI - IFN 	539.565 
KBP - IFO 	475.707 
NAS - IGA 	596.083 
ESB - IGD 	925.757 
AKN - IGG 	83.7198 
AEP - IGR 	1051.36 
GRU - IGU 	845.359 
THR - IIL 	506.194 
DME - IJK 	974.63 
EVN - IKA 	792.847 
NGS - IKI 	93.2981 
YKS - IKS 	1068.6 
OVB - IKT 	1458.82 
PMI - ILD 	305.176 
DTW - ILG 	708.679 
ANC - ILI 	312.161 
PHL - ILM 	666.002 
HKG - ILO 	1568.6 
ABV - ILR 	310.814 
GLA - ILY 	115.981 
GAU - IMF 	276.124 
SLZ - IMP 	485.076 
MSP - IMT 	412.385 
YYZ - IND 	706.699 
MPM - INH 	365.339 
MSP - INL 	409.897 
VIE - INN 	402.35 
MAJ - INU 	974.496 
EDI - INV 	181.795 
ALG - INZ 	1051.76 
ATH - IOA 	333.823 
MAN - IOM 	174.546 
SSA - IOS 	225.542 
VLI - IPA 	164.009 
SCL - IPC 	3752.33 
SIN - IPH 	481.501 
BOG - IPI 	579.218 
SAN - IPL 	151.016 
CNF - IPN 	156.475 
PHL - IPT 	208.191 
LHW - IQN 	366.301 
VVI - IQQ 	806.988 
PTY - IQT 	1580.17 
HIR - IRA 	231.628 
FAI - IRC 	208.617 
CNS - IRG 	526.353 
AEP - IRJ 	977.295 
STL - IRK 	239.282 
FKI - IRP 	361.384 
TFF - IRZ 	335.394 
DRW - ISA 	1296.96 
KBL - ISB 	353.354 
NQY - ISC 	109.353 
IST - ISE 	404.709 
TPE - ISG 	313.469 
MSP - ISN 	876.39 
BOS - ISP 	246.575 
AER - IST 	950.986 
IKA - ISU 	528.502 
STM - ITB 	242.969 
EWR - ITH 	276.115 
MYJ - ITM 	273.119 
HNL - ITO 	348.321 
AKL - IUE 	2487.33 
CHC - IVC 	464.489 
HEL - IVL 	929.037 
HND - IWJ 	733.042 
HND - IWK 	705.811 
CCU - IXA 	316.554 
DEL - IXB 	1125.16 
DEL - IXC 	236.253 
DEL - IXD 	575.517 
BOM - IXE 	714.752 
BLR - IXG 	445.01 
SXR - IXJ 	144.45 
SXR - IXL 	255.906 
HYD - IXM 	823.29 
DEL - IXR 	1007.67 
GAU - IXS 	192.714 
BOM - IXU 	278.857 
DEL - IXZ 	2485.01 
CNF - IZA 	225.872 
HND - IZO 	623.917 
DEN - JAC 	652.937 
DEL - JAI 	231.699 
MEX - JAL 	238.519 
ORD - JAN 	1091.94 
LIM - JAU 	180.501 
SFJ - JAV 	248.485 
JFK - JAX 	1334.47 
PAP - JBQ 	243.151 
STL - JBR 	325.275 
CFC - JCB 	74.2261 
ISA - JCK 	232.425 
DEL - JDH 	475.809 
FOR - JDO 	391.412 
XIY - JDZ 	976.701 
ADA - JED 	1742.09 
SFJ - JEG 	208.969 
FRA - JER 	780.277 
BGO - JFK 	5603.81 
GOH - JFR 	264.659 
BOM - JGA 	478.609 
HLD - JGD 	334.272 
LHW - JGN 	592.187 
XIY - JGS 	1019.33 
KUL - JHB 	250.01 
DIG - JHG 	656.261 
HNL - JHM 	135.724 
SFJ - JHS 	131.371 
CLE - JHW 	230.17 
JED - JIB 	1204.44 
LHW - JIC 	251.742 
DIR - JIJ 	120.49 
ATH - JIK 	212.939 
ADD - JIM 	262.415 
CKG - JIQ 	212.848 
PEK - JIU 	1181.17 
CSX - JJN 	654.016 
UAK - JJU 	59.2486 
ARN - JKG 	306.205 
ATH - JKH 	197.31 
ATH - JKL 	285.743 
KTM - JKR 	123.157 
DFW - JLN 	526.568 
DEL - JLR 	667.81 
ATH - JMK 	135.506 
HRB - JMU 	351.379 
JED - JNB 	5445.69 
XIY - JNG 	699.035 
JJU - JNN 	77.3514 
UAK - JNS 	43.5473 
SEA - JNU 	1460.52 
ATH - JNX 	157.518 
TAO - JNZ 	540.961 
HEL - JOE 	358.704 
KUL - JOG 	1519.23 
GRU - JOI 	388.81 
ZAM - JOL 	150.875 
LOS - JOS 	699.179 
FOR - JPA 	545.634 
CGB - JPR 	816.726 
JAV - JQA 	177.12 
PAC - JQE 	223.329 
NBO - JRO 	235.206 
ATH - JSH 	358.566 
ATH - JSI 	143.184 
DAC - JSR 	145.896 
IAD - JST 	192.84 
GOH - JSU 	148.373 
ATH - JSY 	105.383 
VCP - JTC 	217.76 
ATH - JTR 	218.422 
ATH - JTY 	262.761 
ASM - JUB 	1407.43 
CTU - JUH 	1313.42 
COR - JUJ 	775.607 
AQP - JUL 	180.728 
JAV - JUV 	434.663 
NAY - JUZ 	1224.52 
HRB - JXA 	387.215 
HEL - JYV 	234.653 
CTU - JZH 	254.186 
NLA - KAA 	409.783 
LOS - KAD 	634.754 
HEL - KAJ 	463.147 
GAL - KAL 	97.9429 
IST - KAN 	3799.72 
HEL - KAO 	665.711 
AKL - KAT 	254.556 
MGZ - KAW 	265.967 
MDC - KAZ 	332.626 
DYU - KBL 	443.616 
KIV - KBP 	406.423 
PEN - KBR 	243.108 
BKK - KBV 	649.759 
URC - KCA 	449.788 
KUL - KCH 	969.903 
IKT - KCK 	655.185 
ESB - KCM 	447.635 
ESB - KCO 	255.511 
CMB - KCT 	140.516 
ITM - KCZ 	213.259 
KBL - KDH 	462.694 
UPG - KDI 	335.628 
MLE - KDM 	416.054 
MLE - KDO 	259.381 
ISB - KDU 	315.466 
NAN - KDV 	163.27 
OSL - KEF 	1782.8 
DME - KEJ 	2986.34 
HEL - KEM 	607.592 
KTM - KEP 	365.62 
SYZ - KER 	428.221 
RGN - KET 	611.648 
ZSJ - KEW 	34.9315 
CDB - KFP 	59.1348 
IST - KFS 	421.344 
FIH - KGA 	795.943 
ADL - KGC 	125.318 
MSQ - KGD 	494.222 
HIR - KGE 	358.077 
KZO - KGF 	803.538 
PER - KGI 	537.123 
EBB - KGL 	340.019 
SVX - KGP 	980.861 
ATH - KGS 	305.782 
CTU - KGT 	217.34 
THR - KHD 	373.877 
URC - KHG 	1065.97 
CSX - KHH 	949.564 
IKA - KHI 	1927.98 
XIY - KHN 	917.643 
MCT - KHS 	353.053 
KJA - KHV 	2968.42 
THR - KHY 	639.464 
ARN - KID 	472.752 
YXL - KIF 	352.048 
DXB - KIH 	198.044 
HRB - KIJ 	1362.97 
JNB - KIM 	453.435 
LGW - KIN 	7536.8 
STN - KIR 	667.884 
NBO - KIS 	280.308 
ATH - KIT 	202.29 
AER - KIV 	945.534 
HRB - KIX 	1459.47 
AER - KJA 	3914.29 
UNK - KKA 	118.113 
BKK - KKC 	379.153 
AKL - KKE 	209.539 
BET - KKH 	107.613 
HND - KKJ 	821.354 
TOS - KKN 	422.654 
PPT - KKR 	358.191 
ANI - KLG 	42.5588 
ADQ - KLN 	91.4883 
CRK - KLO 	436.573 
ARN - KLR 	343.411 
VIE - KLU 	234.255 
SVO - KLV 	1745.91 
KTN - KLW 	89.3779 
KIT - KLX 	124.956 
KGL - KME 	147.442 
KTM - KMG 	1771.98 
FUK - KMI 	211.69 
ICN - KMJ 	652.17 
ICN - KMQ 	892.522 
ACC - KMS 	200.001 
FIH - KND 	1173.28 
AMQ - KNG 	622.228 
RMQ - KNH 	229.87 
MEL - KNS 	258.973 
DEL - KNU 	405.206 
DRW - KNX 	441.101 
HNL - KOA 	263.067 
LOP - KOE 	826.088 
ABZ - KOI 	199.623 
ICN - KOJ 	740.973 
HEL - KOK 	390.197 
BKY - KOO 	398.015 
DMK - KOP 	579.359 
REP - KOS 	315.374 
KSM - KOT 	108.518 
DME - KOV 	2047.62 
CTU - KOW 	1183.44 
BET - KPN 	152.999 
GMP - KPO 	292.104 
AKN - KPV 	343.079 
CIT - KQT 	502.848 
ARN - KRF 	377.78 
VIE - KRK 	320.353 
URC - KRL 	269.055 
ARN - KRN 	916.056 
SVX - KRO 	318.783 
CPH - KRP 	232.414 
AER - KRR 	187.014 
CPH - KRS 	399.445 
JED - KRT 	970.567 
URC - KRY 	264.18 
PNI - KSA 	555.323 
VIE - KSC 	350.332 
ARN - KSD 	259.147 
EBB - KSE 	261.053 
AYT - KSF 	2334.16 
IST - KSH 	1786.28 
AOK - KSJ 	21.3849 
ANC - KSM 	708.896 
VKO - KSN 	1711.58 
ATH - KSO 	361.252 
TAS - KSQ 	392.949 
TRD - KSU 	159.626 
ESB - KSY 	858.527 
PHE - KTA 	196.488 
SZB - KTE 	260.528 
PNK - KTG 	195.39 
WIL - KTL 	328.093 
DEL - KTM 	815.165 
SEA - KTN 	1092.77 
OME - KTS 	103.007 
HEL - KTT 	821.06 
WAW - KTW 	229.264 
KUL - KUA 	202.001 
BKI - KUD 	139.738 
EGO - KUF 	978.937 
CTS - KUH 	205.817 
BET - KUK 	38.6417 
IKA - KUL 	6336.04 
RYG - KUN 	937.601 
HEL - KUO 	334.358 
TBS - KUT 	212.16 
DEL - KUU 	368.11 
CJU - KUV 	266.271 
ATH - KVA 	336.047 
CDB - KVC 	30.8191 
GYD - KVD 	316.231 
POM - KVG 	860.098 
DME - KVK 	1359.11 
OTZ - KVL 	126.721 
VKO - KVX 	798.089 
PNI - KWA 	1066.51 
URC - KWE 	2596.72 
IKA - KWI 	750.302 
GMP - KWJ 	270.777 
BET - KWK 	124.319 
CKG - KWL 	602.255 
CNS - KWM 	455.023 
BET - KWN 	113.942 
BET - KWT 	21.4152 
IST - KYA 	490.621 
KLN - KYK 	28.384 
RGN - KYP 	392.186 
FAI - KYU 	466.123 
IKT - KYZ 	686.944 
ATH - KZI 	318.108 
AER - KZN 	1506.83 
SCO - KZO 	1156.59 
IST - KZR 	267.324 
RHO - KZS 	136.768 
FIH - LAD 	554.145 
POM - LAE 	324.124 
ORY - LAI 	428.983 
ABQ - LAM 	98.3066 
DTW - LAN 	119.166 
MNL - LAO 	411.337 
MZT - LAP 	429.413 
TIP - LAQ 	823.566 
DEN - LAR 	182.122 
DEN - LAS 	1009.36 
MYD - LAU 	141.142 
DFW - LAW 	225.321 
VKO - LAX 	9794.05 
SSA - LAZ 	552.2 
PRG - LBA 	1164.8 
DEN - LBB 	734.353 
GDN - LBC 	508.947 
AER - LBD 	2476.5 
MYR - LBE 	734.681 
DEN - LBF 	365.399 
DPS - LBJ 	519.945 
DEN - LBL 	450.127 
NAN - LBS 	247.334 
BKI - LBU 	113.431 
IST - LBV 	4937.74 
KRR - LCA 	1223.83 
RTB - LCE 	72.9502 
BIO - LCG 	442.296 
IAH - LCH 	204.46 
SFB - LCK 	1236.88 
SHA - LCX 	760.397 
FRA - LCY 	620.392 
GRU - LDB 	475.42 
BGY - LDE 	818.867 
BNE - LDH 	738.893 
HRB - LDS 	317.193 
BKI - LDU 	270.963 
STN - LDY 	601.996 
PER - LEA 	1094.94 
BOS - LEB 	175.627 
SSA - LEC 	323.978 
AER - LED 	1932.59 
LYS - LEH 	564.833 
PMI - LEI 	538.345 
VIE - LEJ 	482.13 
BCN - LEN 	655.339 
ISC - LEQ 	49.1336 
BOG - LET 	1093.78 
DTW - LEX 	476.378 
KWI - LFM 	550.989 
CCS - LFR 	635.896 
ATL - LFT 	808.751 
LOS - LFW 	232.925 
BOS - LGA 	296.692 
OAK - LGB 	568.352 
LIL - LGG 	166.503 
NAS - LGI 	317.419 
PEN - LGK 	129.855 
MYY - LGL 	163.705 
MNL - LGP 	329.386 
BRU - LGW 	328.042 
PEW - LHE 	385.392 
FRA - LHR 	654.76 
URC - LHW 	1594.34 
LYS - LIG 	302.848 
HNL - LIH 	163.372 
SXB - LIL 	397.422 
MAD - LIM 	9526.19 
VIE - LIN 	629.113 
MIA - LIR 	1778.26 
KIV - LIS 	3197.6 
ORD - LIT 	889.411 
FIH - LJA 	894.592 
CTU - LJG 	564.171 
VIE - LJU 	263.61 
SUV - LKB 	277.842 
WIL - LKG 	672.802 
MYY - LKH 	143.923 
TOS - LKL 	235.46 
BOO - LKN 	103.26 
DEL - LKO 	423.475 
ARN - LLA 	689.189 
CAN - LLB 	586.855 
CSX - LLF 	260.115 
ADD - LLI 	333.848 
DME - LLK 	2023.07 
JJU - LLU 	37.5944 
NBO - LLW 	1429.17 
FAI - LMA 	237.56 
HMO - LMM 	426.058 
MYY - LMN 	125.624 
CTA - LMP 	309.563 
PDX - LMT 	387.927 
VLI - LNB 	125.168 
VLI - LNE 	204.506 
KMG - LNJ 	330.829 
ORD - LNK 	748.578 
IAD - LNS 	164.392 
HNL - LNY 	117.213 
VIE - LNZ 	177.175 
LNE - LOD 	65.9115 
DMK - LOE 	409.889 
UIO - LOH 	444.485 
NBO - LOK 	515.147 
KUL - LOP 	2059.96 
IST - LOS 	4606.25 
CMN - LPA 	959.427 
VVI - LPB 	552.008 
LET - LPD 	321.114 
CPH - LPI 	359.996 
AMS - LPL 	523.869 
VLI - LPM 	147.229 
BGY - LPP 	2086.27 
CNX - LPQ 	358.353 
BKK - LPT 	527.36 
ORY - LPY 	418.437 
PUU - LQM 	206.999 
DFW - LRD 	639.093 
WIN - LRE 	170.673 
PIS - LRH 	123.836 
MXP - LRM 	7605 
KWI - LRR 	650.311 
ATH - LRS 	265.219 
ORY - LRT 	443.928 
ANF - LSC 	723.506 
ORD - LSE 	345.101 
ABZ - LSI 	302.231 
CUR - LSP 	137.336 
MEL - LST 	475.999 
SYD - LSY 	602.187 
TIP - LTD 	429.851 
BYN - LTI 	345.345 
PRG - LTN 	1040.87 
LAX - LTO 	1114.9 
OCC - LTX 	187.73 
WDH - LUD 	519.232 
ZRH - LUG 	164.708 
DEL - LUH 	277.634 
MDW - LUK 	410.51 
KMG - LUM 	450.818 
ADD - LUN 	2933.56 
LAD - LUO 	797.761 
AEP - LUQ 	746.35 
OTZ - LUR 	265.607 
AMQ - LUV 	558.304 
UPG - LUW 	572.455 
FRA - LUX 	175.728 
GDN - LUZ 	450.614 
LUN - LVI 	394.031 
IAD - LWB 	283.509 
DME - LWN 	1687.34 
KBP - LWO 	498.463 
SEA - LWS 	419.408 
BKI - LWY 	140.371 
KTM - LXA 	571.02 
VTE - LXG 	352.936 
CAI - LXR 	511.15 
SKG - LXS 	203.678 
PEK - LYA 	699.684 
CYB - LYB 	21.7775 
ARN - LYC 	546.023 
PEK - LYG 	645.005 
CLT - LYH 	282.114 
PEK - LYI 	582.419 
KHI - LYP 	917.759 
TOS - LYR 	957.62 
MXP - LYS 	283.51 
MEX - LZC 	367.979 
CTU - LZH 	888.905 
XIY - LZO 	698.537 
LXA - LZY 	331.952 
BOM - MAA 	1033.4 
IMP - MAB 	186.621 
BLQ - MAD 	1296.3 
DFW - MAF 	496.138 
POM - MAG 	496.778 
PMI - MAH 	131.226 
KWA - MAJ 	431.153 
MEX - MAM 	721.915 
FRA - MAN 	832.582 
FOR - MAO 	2389.7 
DMK - MAQ 	380.723 
CUR - MAR 	352.028 
POM - MAS 	821.094 
PPT - MAU 	307.153 
SJU - MAZ 	122.737 
ADD - MBA 	1449.63 
HND - MBE 	1020.73 
DAR - MBI 	691.283 
FRA - MBJ 	8195.56 
MDW - MBL 	302.332 
DTW - MBS 	158.308 
MNL - MBT 	369.104 
LAX - MCE 	417.527 
ANC - MCG 	352.681 
ORD - MCI 	647.005 
DEN - MCK 	349.522 
ATL - MCN 	127.562 
DUB - MCO 	6541.44 
BEL - MCP 	329.522 
IKA - MCT 	1483.64 
DRW - MCV 	717.522 
KRR - MCX 	722.233 
SYD - MCY 	836.858 
REC - MCZ 	181.087 
SIN - MDC 	2326.88 
CUR - MDE 	975.498 
PEK - MDG 	1174.82 
FIH - MDK 	583.182 
RGN - MDL 	533.417 
AEP - MDQ 	382.803 
BOS - MDT 	538.163 
POM - MDU 	536.957 
DTW - MDW 	366.548 
COR - MDZ 	463.335 
CAW - MEA 	86.1961 
FLS - MEB 	374.922 
UIO - MEC 	273.621 
AMM - MED 	876.146 
LAD - MEG 	346.241 
HFT - MEH 	156.518 
ATL - MEI 	428.523 
KUL - MEL 	6314.98 
CVG - MEM 	648.198 
BEL - MEU 	461.905 
YYZ - MEX 	3246.67 
IAH - MFE 	509.98 
CKG - MFM 	1090.94 
SEA - MFR 	566.033 
LUN - MFU 	440.44 
MIA - MGA 	1638.25 
ADL - MGB 	371.091 
GRU - MGF 	565.01 
JNB - MGH 	563.2 
ATL - MGM 	236.013 
JIB - MGQ 	1086.09 
RAR - MGS 	211.017 
MNG - MGT 	71.8915 
IAD - MGW 	225.52 
TVY - MGZ 	190.486 
PMC - MHC 	112.678 
TBZ - MHD 	1205.11 
TXL - MHG 	478.657 
NAS - MHH 	168.148 
ORD - MHK 	804.447 
TKU - MHQ 	137.289 
LGA - MHT 	313.301 
FRA - MIA 	7763.55 
MIA - MID 	1097.57 
XNN - MIG 	619.121 
VCP - MII 	300.43 
MEL - MIM 	455.394 
TUN - MIR 	130.394 
GUR - MIS 	276.971 
KHI - MJD 	287.31 
TRD - MJF 	280.716 
FIH - MJM 	920.022 
DZA - MJN 	338.506 
ATH - MJT 	262.388 
MAD - MJV 	382.337 
OVB - MJZ 	1967.49 
ORD - MKE 	107.706 
ORD - MKG 	190.148 
HNL - MKK 	87.8438 
BNA - MKL 	209.888 
KCH - MKM 	249.135 
PPT - MKP 	641.456 
DJJ - MKQ 	660.958 
SOQ - MKW 	307.083 
TSV - MKY 	330.205 
IST - MLA 	1377.2 
CLT - MLB 	791.23 
MCT - MLE 	2707.45 
CGK - MLG 	697.983 
ORD - MLI 	223.923 
RSH - MLL 	38.2956 
IAH - MLM 	1263.71 
LEI - MLN 	181.724 
ATH - MLO 	145.645 
ATL - MLU 	719.833 
ACC - MLW 	1173.87 
ESB - MLX 	477.19 
FAI - MLY 	133.021 
CTS - MMB 	234.696 
AMS - MME 	477.658 
LAX - MMH 	411.207 
FUK - MMJ 	739.293 
SVO - MMK 	1443.45 
RAI - MMO 	39.5582 
CVG - MMU 	895.149 
WAW - MMX 	622.633 
ISG - MMY 	114.531 
MDC - MNA 	335.148 
DRW - MNG 	366.972 
HKG - MNL 	1145.86 
NLA - MNS 	208.174 
ATL - MOB 	485.935 
CNF - MOC 	324.819 
SFO - MOD 	125.151 
DPS - MOF 	777.195 
RAR - MOI 	266.146 
OSL - MOL 	354.38 
TNR - MOQ 	370.261 
MSP - MOT 	720.879 
KSM - MOU 	20.1635 
TSV - MOV 	340.489 
PPT - MOZ 	17.8966 
MNL - MPH 	304.605 
FCO - MPL 	704.306 
NBO - MPM 	2775.04 
RGL - MPN 	748.224 
SVX - MQF 	394.6 
BSB - MQH 	259.663 
YKS - MQJ 	808.943 
ADL - MQL 	335.005 
ESB - MQM 	737.071 
TRD - MQN 	360.131 
LVI - MQP 	1002.28 
DTW - MQT 	561.585 
ADD - MQX 	505.589 
CCS - MRD 	509.309 
WIL - MRE 	201.063 
VCE - MRS 	610.37 
DXB - MRU 	5085.9 
EVN - MRV 	466.158 
IFN - MRX 	353.974 
SFO - MRY 	124.072 
SYD - MRZ 	510.285 
YXL - MSA 	370.131 
HND - MSJ 	589.325 
ATL - MSL 	317.559 
ORD - MSN 	174.477 
SEA - MSO 	623.599 
AMS - MSP 	6684.89 
AER - MSQ 	1449.43 
ESB - MSR 	759.549 
ALB - MSS 	257.237 
GRQ - MST 	251.683 
JNB - MSU 	375.752 
ASM - MSW 	64.7388 
YYZ - MSY 	1788.11 
LAD - MSZ 	721.65 
DEN - MTJ 	315.667 
KTN - MTM 	26.4203 
BOG - MTR 	494.417 
JNB - MTS 	308.15 
MEX - MTT 	495.518 
ZGU - MTV 	62.8553 
ORD - MTY 	2119.52 
HIR - MUA 	330.22 
VFA - MUB 	328.027 
KIV - MUC 	1291.5 
OGG - MUE 	127.505 
RAR - MUK 	282.164 
PMV - MUN 	156.883 
MYY - MUR 	41.1242 
ALG - MUW 	321.667 
ISB - MUX 	397.07 
GRU - MVD 	1569.52 
BOG - MVP 	579.429 
NSI - MVR 	805.449 
PPT - MVT 	313.377 
BOS - MVY 	112.737 
STL - MWA 	162.136 
SON - MWF 	108.278 
PEK - MWX 	1031.74 
NBO - MWZ 	461.282 
POM - MXH 	556.409 
HMO - MXL 	560.899 
KIV - MXP 	1554.97 
ULN - MXV 	528.845 
ARN - MXX 	237.256 
CAN - MXZ 	307.203 
SYD - MYA 	236.57 
NBO - MYD 	411.65 
NAS - MYG 	541.188 
ICN - MYJ 	694.58 
BLR - MYQ 	156.735 
PHL - MYR 	762.655 
RGN - MYT 	950.936 
BET - MYU 	246.333 
DAR - MYW 	399.614 
MZV - MYY 	95.6833 
RMQ - MZG 	127.19 
IST - MZH 	569.705 
BOG - MZL 	150.491 
IKA - MZR 	1448.79 
DFW - MZT 	1410.04 
BWN - MZV 	100.545 
ALG - MZW 	471.095 
DEL - NAG 	853.894 
MDC - NAH 	246.526 
KVD - NAJ 	187.147 
ICN - NAN 	8131.32 
XIY - NAO 	472.901 
IST - NAP 	1211.46 
JUV - NAQ 	641.732 
LHR - NAS 	6976.52 
LIS - NAT 	5643.02 
IST - NAV 	565.445 
DMK - NAW 	831.361 
HET - NAY 	404.727 
DME - NBC 	892.383 
MLA - NBE 	364.27 
JED - NBO 	2568.79 
PEK - NBS 	948.843 
AMQ - NBX 	822.926 
VCE - NCE 	455.546 
PRG - NCL 	1206.01 
TAS - NCU 	810.812 
LPA - NDB 	795.781 
PEK - NDG 	989.866 
IST - NDJ 	3504.84 
PMI - NDR 	719.294 
KOI - NDY 	37.5402 
IKT - NER 	1412.97 
ANU - NEV 	85.0401 
CGO - NGB 	886.551 
NDJ - NGE 	555.175 
KHV - NGK 	671.489 
PEK - NGO 	1871.65 
KHG - NGQ 	903.699 
ICN - NGS 	595.908 
PPT - NHV 	1406 
MCG - NIB 	63.4526 
IST - NIM 	4019.91 
SVX - NJC 	1012.6 
IKA - NJF 	731.017 
TUN - NKC 	3284.03 
URC - NKG 	3045.81 
KIJ - NKM 	358.657 
ADD - NLA 	2687.74 
MEX - NLD 	891.851 
CDB - NLG 	132.672 
BNE - NLK 	1462.98 
URC - NLT 	333.59 
TAS - NMA 	193.01 
BET - NME 	159.874 
HIR - NNB 	306.411 
CTU - NNG 	980.509 
ARH - NNM 	651.04 
CNX - NNT 	191.688 
CGO - NNY 	205.25 
SJO - NOB 	158.167 
STN - NOC 	647.134 
SVX - NOJ 	1073.25 
IST - NOP 	530.979 
DZA - NOS 	333.414 
KIX - NOU 	7078.14 
LAD - NOV 	518.88 
DME - NOZ 	3093.02 
AKL - NPE 	328.035 
AKL - NPL 	228.835 
AEP - NQN 	994.797 
EOH - NQU 	195.782 
LGW - NQY 	346.71 
SYD - NRA 	436.523 
HEL - NRK 	528.193 
KOI - NRL 	52.8653 
TSF - NRN 	797.003 
VVO - NRT 	1102.93 
THR - NSH 	109.163 
IST - NSI 	4514.64 
AER - NSK 	3915.02 
WLG - NSN 	132.334 
DMK - NST 	601.795 
MUC - NTE 	1009.06 
SYD - NTL 	141.792 
ONG - NTN 	230.846 
HND - NTQ 	317.843 
BTH - NTX 	566.514 
VIE - NUE 	430.674 
SCC - NUI 	95.7064 
GAL - NUL 	53.9701 
VLI - NUS 	204.922 
SVX - NUX 	1324.61 
BOG - NVA 	232.645 
TAS - NVI 	369.009 
BOO - NVK 	181.345 
GRU - NVT 	441.288 
AMS - NWI 	239.168 
SVX - NYA 	655.488 
ACC - NYI 	308.552 
WIL - NYK 	142.271 
SVX - NYM 	1158.73 
WAW - NYO 	779.152 
KMG - NYT 	921.495 
RGN - NYU 	491.502 
OVB - NZH 	2407.96 
SYD - OAG 	199.303 
DCA - OAJ 	450.234 
ARN - OAK 	8586.48 
